"SA1_MAINCODE_2016","SA1_sevendigitcode_2016","CED_CODE_2017","CED_NAME_2017","STATE_CODE_2017","STATE_NAME_2017","AREA_ALBERS_SQKM"
31202135507,3135507,306,"Dawson",3,"Queensland",0.1715
31202135508,3135508,306,"Dawson",3,"Queensland",0.318
31202135509,3135509,306,"Dawson",3,"Queensland",0.1739
31202135510,3135510,306,"Dawson",3,"Queensland",0.185
31202135511,3135511,306,"Dawson",3,"Queensland",0.5934
31202135512,3135512,306,"Dawson",3,"Queensland",3.3742
31202135513,3135513,306,"Dawson",3,"Queensland",2.4627
31202135601,3135601,306,"Dawson",3,"Queensland",0.1903
31202135602,3135602,306,"Dawson",3,"Queensland",0.1216
31202135603,3135603,306,"Dawson",3,"Queensland",0.1292
31202135604,3135604,306,"Dawson",3,"Queensland",0.5119
31202135605,3135605,306,"Dawson",3,"Queensland",0.2513
31202135606,3135606,306,"Dawson",3,"Queensland",0.2565
31202135607,3135607,306,"Dawson",3,"Queensland",0.2295
31202135608,3135608,306,"Dawson",3,"Queensland",0.2085
31202135609,3135609,306,"Dawson",3,"Queensland",0.1944
31202135610,3135610,306,"Dawson",3,"Queensland",0.2536
31202135611,3135611,306,"Dawson",3,"Queensland",0.2978
31202135612,3135612,306,"Dawson",3,"Queensland",0.1569
31202135613,3135613,306,"Dawson",3,"Queensland",0.1457
31202135614,3135614,306,"Dawson",3,"Queensland",3.1991
31202135615,3135615,306,"Dawson",3,"Queensland",0.1268
31202135616,3135616,306,"Dawson",3,"Queensland",0.1648
31202135617,3135617,306,"Dawson",3,"Queensland",0.1385
31202135618,3135618,306,"Dawson",3,"Queensland",0.1939
31202135619,3135619,306,"Dawson",3,"Queensland",0.1206
31202135701,3135701,306,"Dawson",3,"Queensland",0.2728
31202135702,3135702,305,"Capricornia",3,"Queensland",34.24
31202135703,3135703,305,"Capricornia",3,"Queensland",78.4004
31202135704,3135704,305,"Capricornia",3,"Queensland",58.0471
31202135705,3135705,305,"Capricornia",3,"Queensland",16.911
31202135706,3135706,305,"Capricornia",3,"Queensland",91.1934
31202135707,3135707,305,"Capricornia",3,"Queensland",84.4878
31202135708,3135708,305,"Capricornia",3,"Queensland",60.4797
31202135709,3135709,305,"Capricornia",3,"Queensland",17.5056
31202135710,3135710,305,"Capricornia",3,"Queensland",22.2439
31202135711,3135711,305,"Capricornia",3,"Queensland",17.9455
31202135712,3135712,305,"Capricornia",3,"Queensland",47.2575
31202135713,3135713,305,"Capricornia",3,"Queensland",16.4492
